,id,HotelName,sponsor,event,venue,City&Country,measurements,occasion,notes,call_number,keywords,language,date,place,place_type,currency,currency_symbol,status,page_count,dish_count
4493,20849,,HAMBURG AMERIKA LINIE,FRUHSTUCK/LUNCH,COMMERCIAL,SCHNELLDAMPFER (EXPRESS STEAMER) AUGUST VICTORIA,CARD; ILLUS; COLOR; 5.0X8.0;,,"ILLUS, GODDESS WITH SWORD IN RIGHT HAND, SHIELD WITH ""H.A.P.A.G.""; CASTLES IN BACKGROUND; TRAY WITH FRUIT, GRAPES, WINE JUB AND GLASS IN FOREGROUND; IN CARTOUCHE, STEAMSHIP;",1900-2521,,,1900-03-19,Hamburg Amerika Linie,,,,complete,2,18
7306,24332,,MASONS,BANQUET TO THE EARL OF ONSLOW,SOC;,"AUCKLAND,NEW ZEALEND;",BROADSIDE;3.5 X 5.25;,COMPLIMENTARY/TESTIMONIAL,INCLUDES WINES;,1890-085,,,1890-01-01,Earl of Onslow,,,,complete,2,36
7140,24127,,THE CONTINENTAL,NEW YEAR DINNER,COMMERCIAL,"PHILADELPHIA, [PA]",BOOKLET; COL; ILLUS; 6.25 X 7;,,PALE BLUE; HUMOROUS DRAWING OF COOK STIRRING POT; WHITE CORD;,1894-005,,,1894-01-01,The Continental,,,,complete,4,31
14358,31958,Hotel McAlpin,Hotel McAlpin,,,,18.5x12cm folded; 18.5x23.5cm open,,Dinner of the Veterans' Association of the Metropolitan Life Insurance Company,1919-0007_wotm,,,1919-01-22,Hotel McAlpin,,,,complete,4,14
12558,30101,,The Terrace Room,,,,28.5x22.5cm folded; 28.5x45.5cm open,,,1943-0063_wotm,,,1943-05-03,The Terrace Room,,Dollars,$,complete,3,152
15101,32713,Hotel Manhattan,Hotel Manhattan,,,,28x18cm folded; 28x36cm opened,,,1917-0451_wotm,,,1917-11-14,Hotel Manhattan,,Dollars,$,complete,4,171
4650,21035,,ALDINE ASSOCIATION,"DAILY MENU, LUNCHEON",COMMERCIAL,"111 FIFTH AVE, NEW YORK CITY",FOLDER; 7X11;,,PRICED WINE LIST ON BACK; PL NOTED BY FEB;,1907-239,,,1907-02-15,Aldine Association,,Dollars,$,complete,4,412
11564,29079,,Raritan Valley Inn,,,,32x23cm folded; 32x46cm open,,,1961-0006_wotm,,,1961-04-03,Raritan Valley Inn,,Dollars,$,complete,3,36
9509,26966,,Three Thirty Three,,RESTAURANT,Three Thirty Three,Folder; 9 x 16 inches,,"Dieter Zander Collection; cover painting entitled ""Lake in Our Sky""; daily specials on a purple paper insert.",Zander 548,,,1987-09-02,Three Thirty Three,,Dollars,$,complete,3,54
5551,22158,,TAIT'S CAFE,DINNER,COMMERCIAL,"VAN NESS AVENUE AND EDDY STREET, SAN FRANCISCO, CA",FOLDER; COL; ILLUS; 6.5 X 12.5;,,BEER; PRICED MENU; ILLUSTRATION OF FLIRTATIOUS MAN AND WOMAN;,1907-536,,,1907-05-22,Tait's Cafe,,Dollars,$,complete,4,143
5157,21669,,GOVERNOR'S STAFF,BANQUET TO GOV.HENRY H. MARKHAM,PATR;,CALIFORNIA,BOOKLET;SILK COVER;ILLUS;7X9.25;,COMPLIMENTARY/TESTIMONIAL,"ALL WINES,MUSICAL PROGRAM & OFFICERS LISTED",1891-065,,,1891-05-29,Governor's Staff,,,,complete,8,39
9733,27205,,Harvard Club of San Francisco,dinner ,HOTEL,Palace Hotel,8 x 5 in. fold.,,"Event : Seventh Annual Dinner Includes an ""Ode"" to Harvard.",Soete 33,,,1880-10-21,Harvard Club Of San Francisco,,,,complete,3,28
7432,24490,,THE ANSONIA,LUNCHEON,COMMERCIAL,"BROADWAY AND 73RD STREET, NEW YORK",CARD; 4.25 X 6.5;,,PRICED MENU; LOGO;,1907-056,,,1907-01-09,The Ansonia,,Dollars,$,complete,2,60
9588,27058,,New York Central System,daily menu,RAILROAD,The Mercury,9 x 6 in. fold. ; ill.,,"Insert : Chef's Special. Includes ""Selective Meals"" and a la carte menu options. Manager Dining Service : B. J. Bohlender.",Soete 175,,,1930-01-01,New York Central System,,Dollars,$,complete,4,174
103,12584,,,,,,,,,,,,1900-04-15,Republican House,,,,complete,2,34
10170,27653,,Norddeutscher Lloyd Bremen,Lunch ˆ La Carte,,,,,,1910-939,,,1910-03-18,Norddeutscher Lloyd Bremen,,,,complete,1,144
9750,27222,,Hong Chong Burlingame Chop Suey Restaurant,daily menu,RESTAURANT,Hong Chong Burlingame Chop Suey Restaurant,9 1/2 x 6 in. fold. ; ill.,,,Soete 76,,,,Hong Chong Burlingame Chop Suey Restaurant,,Dollars,$,complete,4,151
6238,23016,,GEORGE THOMSON WILSON,DINNER TO PATRICK FRANCIS MURPHY,SOC;,DELMONICO'S [NEW YORK],BOOKLET; COL; ILLUS; 7.5 X  9.75;,COMPLIMENTARY/TESTIMONIAL,"WINES LISTED; MENU IN FRENCH; MENU SERED AS PLACE CARD, THIS ONE FOR FEB; PHOT OF PATRICK MURPHY WITH ORNAMENTAL BORDER;",1906-014,,,1906-01-03,George Thomson Wilson,,,,complete,8,22
10307,27791,,The Tea Cosy,,,,30.5x19.5cm folded; 30.5x29.5cm open,,,1969-0042_wotm,,,1969-01-01,The Tea Cosy,,Bermudian dollars,$,complete,4,81
10966,28474,,Butcher Block Steak House,,,,21.5x19cm folded; 43x38cm open,,,1985-0002_wotm,,,,Butcher Block Steak House,,Dollars,$,complete,2,37
5826,22497,,NORDDEUTSCHER LLOYD BREMEN,DINNER,COMMERCIAL,SS BARBAROSSA,FOLDER;ILL;COL;5.25X7.5;,DAILY;,COMPLEX SCENE WITH ART NOUVEAU DECORATION;DANCING COUPLE ON BACK COVER;ILLUSTRATIONS ON INSIDE PAGES;MUSICAL PROGRAM;MENUS SEPARATE IN GERMAN AND ENGLISH;,1901-919,,,1901-04-14,Norddeutscher Lloyd Bremen,,,,complete,4,32
2253,16030,,,,,,,,,,,,1901-07-10,Nordeutscher Lloyd Bremen,,,,complete,2,15
10216,27699,,"CONFRERIE DE LA CHAINE DES ROTISSEURS, OKLAHOMA CHAPTER",INAUGURATION OF THE OKLAHOME CHAPTER,OTHER (PRIVATE CLUB),"OKLAHOMA CITY GOLF AND COUNTRY CLUB, OKLAHOMA CITY, OK",BOOKLET; COL; ILLUS; 9 X 12,,WINES WITH EACH COURSE; MENU IN FRENCH;  VERSE BY GUILLAUME  LE NORMANZ; ILLUASTRATION OF GRAPE VINE; GREEN VELOUR COVER; CREST,1968-0035,,,1968-07-01,Confrerie De La Chaine Des Rotisseurs,,,,complete,4,24
9692,27164,,New York Central System,dinner,RAILROAD,,10 1/2 x 6 1/2 in. ; ill.,,"Manager Dining Service : B. J. Bohlender. Ilustrations : Palisades of the Hudson, Majestic Niagara Falls, West Point - Hudson Highlands.",Soete 179,,,1940-10-23,New York Central System,,,,complete,1,16
15449,33065,[Restaurant name and/or location not given],[Restaurant name and/or location not given],,,,24x15cm,,,1917-0558_wotm,,,1917-11-19,[Restaurant name and/or location not given],,Dollars,$,complete,2,54
5324,21878,,?,DINNER,?,"DELMONICOS,[NY]",CARD;ILL;COL;5X7.25;,?,FRENCH MENU;HANDPAINTED CROSSED FLAGS WITH INITIAL B AT CROSSING;,1899-259,,,1899-03-16,Delmonicos,,,,complete,2,11
12532,30074,,Hotel Commodore,,,,27.5x21cm folded; 27.5x42cm open,,,1943-0036_wotm,,,1943-02-06,Hotel Commodore,,,,complete,7,10
14037,31629,,[Restaurant Name And/Or Location Not Given],,,,14x13cm folded; 28x13cm open,,Byrd Arctic Expedition,1926-0019_wotm,,,1926-07-09,John Wanamaker,,,,complete,3,11
13058,30606,,Waldorf Astoria,,,,18x14cm folded; 18x28cm open,,Interborough Association of Women Teachers,1937-0081_wotm,,,1937-04-24,Waldorf Astoria,,,,complete,4,15
1650,14967,,,,,,,,,,,,1900-05-04,Hotel Savoy,,Dollars,$,complete,2,94
12100,29622,,Jane Davies,,,,21.5x14cm folded; 21.5x28.5cm open,,,1955-0017_wotm,,,1955-04-12,Jane Davies,,Dollars,$,complete,4,79
1531,14703,,,,,,,,,,,,1900-02-21,Rms Oceanic,,,,complete,2,23
11287,28798,,La Choza,,,,14.5x22.5cm,,,1987-0033_wotm,,,1987-01-01,La Choza,,Dollars,$,complete,1,28
11178,28689,,Zum Roten Baeren,,,,29.5x21cm,,,1959-0050_wotm,,,1959-10-20,Zum Roten Baeren,,Deutsche Marks,DM,complete,2,27
6234,23012,,HOTEL MARIE ANTOINETTE,DINNER,COMMERCIAL,NEW YORK,CARD; BROADSIDE; 5.75 X 10;,,PRICED MENU;,1896-204,,,1896-11-12,Hotel Marie Antoinette,,Dollars,$,complete,2,156
6613,23471,,HOME MARKET CLUB,DINNER IN HONOR OF PRES.McKINLEY & MEMBERS OF THE CABINET,POL;,"MECHANIC'S BUILDING,BOSTON,MASS.",BOOKLET;PHOTOGRAPHS; 6.75 X 8.5;,COMPLIMENTARY/TESTIMONIAL,MUSICAL PROGRAM & SPEAKERS LISTED; WORDS & MUSIC FOR SONGS FOR PRES. McKINLEY INCLUDED; GUESTS AT SPEAKERS TABLE LISTED;,1899-185,,,1899-02-16,Home Market Club,,,,complete,12,22
6130,22874,,AMERICAN MEDICAL EDITORS ASSOCIATION,BANQUET,PROF;,"ARLINGTON CLUB,PORTLAND,OREGON;",BOOKLET;FLAG ILLUS; COL; 5.5X7;,ANNUAL;,LIST OF SPEAKERS & OFFICERS INCLUDED;,1905-559,,,1905-07-10,American Medical Editors Association,,,,complete,8,14
6273,23058,,LESLIE M. SHAW (SECRETARY OF THE TREASURY?),DINNER TO PRESIDENT THEODORE ROOSEVELT,SOC;,THE ARLINGTON (WASHINGTON DC?),CARD; 5 X 7;,COMPLIMENTARY/TESTIMONIAL,WINES WITH EACH COURSE; U.S. CREST; SPONSOR AND EVENT NOTED BY FEB;,1906-030,,,1906-01-09,Leslie M. Shaw (Secretary Of The Treasury?),,,,complete,2,26
1524,14688,,,,,,,,,,,,1900-11-13,Del Coronadao Hotel,,,,complete,2,45
11024,28532,,S.S. Flandre,,,,27x21cm folded; 27x42cm open,,English is secondary language,1957-0070_wotm,,,1957-07-29,S.S. Flandre,,,,complete,3,57
778,13505,,HOTEL GRUNEWALD,DINNER,COMMERCIAL,"NEW ORLEANS, [LA]",CARD; COL; ILLUS; 5.25 X 8;,,PRIX FIXE DINNER INCLUDING WINE; PALE BLUE STOCK; DRAWING OF FRUIT AND WINE; MUSICAL PROGRAM;,1900-4778,,,1900-10-22,Hotel Grunewald,,,,complete,2,21
8837,26243,,NORDDEUTSCHER LLOYD BREMEN,FRUHSTUCK,COMMERCIAL,"DAMPFER ""BARBAROSSA""",CARD; ILLUS; COL; 5.25X8;,,"GERMAN & ENGLISH; ILLUSTRATION OF SAILBOAT, SMALL VESSELS IN HARBOUR, HOUSES IN BACKGROUND;",1901-952,,,1901-04-18,Norddeutscher Lloyd Bremen,,,,complete,2,69
1704,15191,,,,,,,,,,,,1900-09-27,Lafayette Post No. 140 G.A.R.,,,,complete,16,31
11960,29482,,"Paquebot \Liberté\""""",,,,34x24cm folded; 34x48cm open,,English is secondary language. ,1955-0029_wotm,,,1955-05-28,"Paquebot \Liberté\""""",,,,complete,3,126
14700,32307,Café New York Restaurant,Café New York Restaurant,,,,33x21cm,,,1918-0183_wotm,,,1918-01-27,Café New York Restaurant,,Dollars,$,complete,2,232
7265,24286,,5TH MASS. BATTERY E.,DINNER,PATR;,"YOUNG'S HOTEL,BOSTON",BOOKLET;ILLUS;RIBBON TRIM;4.75 X 5.5;,,INCLUDES LIST OF OFFICERS;,1890-090,,,1890-08-12,5th Mass. Battery E.,,,,complete,3,37
2276,16111,,,,,,,,,,,,1906-12-31,Bristol's Dining Rooms,,Dollars,$,complete,2,90
8560,25913,,U.S.FLAGSHIP KEARSARGE,LUNCH,NAV;,"TARGET BAY,CULEBRA ISLAND,PORTO RICO",CARD;COL;5X6.5;,DAILY;,MUSIC PROGRAM;FRENCH MENU;,1901-894,,,1901-04-11,U.S.Flagship Kearsarge,,,,complete,2,10
11113,28623,,S.S. Lurline,,,,35x26.5cm folded; 35x53cm open,,,1957-0005_wotm,,,1957-01-02,S.S. Lurline,,,,complete,3,65
16889,34689,New York Athletic Club,New York Athletic Club,,,,,,"Dinner given to Rear Admiral Hugo Osterhaus, U.S.N.",1912-0628_wotm,,,1912-01-01,New York Athletic Club,,,,complete,4,26
15615,33235,[Restaurant name and/or location not given],[Restaurant name and/or location not given],,,,54x21.5cm,,,1917-0985_wotm,,,1917-12-20,[Restaurant name and/or location not given],,Dollars,$,complete,1,96
11299,28810,,Mr. William Shakespeare's,,,,28x22cm,,,1987-0045_wotm,,,1987-01-01,Mr. William Shakespeare's,,Dollars,$,complete,1,44
5886,22574,,KING ENDWARD VII,DINNER,OTHER (BRITISH ROYAL FAMILY);,WINDSOR CASTLE,CARD; ILLUS; COL; 3.6X5.25;,,FRENCH AND GERMAN; ROYAL INSIGNIA AT TOP OF MENU;,1905-877,,,1905-11-19,King Edward Vii,,,,complete,2,6
223,12740,,CUNARD LINE,BREAKFAST,COMMERCIAL,SS ETRURIA,CARD;ILL;COL;4.25X6.5;,DAILY;,FLAG WITH LION UPPER LEFT;WINE LIST ON BACK;,1900-1182,,,1900-02-21,Cunard Line,,,,complete,2,95
4566,20923,,SOUTHERN PACIFIC COMPANY,DINNER,COMMERCIAL,SUNSET OGDEN & SHASTA ROUTE,CARD;ILLUS;COL;5.5X8.8;,DAILY;,NO DATE;STAMP OF BUTTOLPH COLLECTION 1900-1901;ONE OF TWO MENUS ON SAME STAMPED FORM WITH DIFFERENT SPECIAL ITEMS STAMPED IN;,1900-4933,,,1900-01-01,Southern Pacific Company,,Dollars,$,complete,2,58
10649,28152,,"R.M.S. \Queen Elizabeth\""""",,,,27x21cm  ,,Menu is missing right hand page.,1967-0068_wotm,,,,"R.M.S. \Queen Elizabeth\""""",,,,complete,2,41
7785,24959,,HASKIN'S RESTAURANT,"DINNER,BREAKFAST AND A LA CARTE",COMMERCIAL,"117WEST 34TH STREET,NEW YORK,NY",FOLDER;5.5X9;,DAILY;,NO SMOKING;,1900-1197,,,1900-02-21,Haskin's Restaurant,,Dollars,$,complete,4,137
7845,25035,,GARIBALDI PLEASURE CLUB,ANNUAL BANQUET AND RECEPTION,SOC;,"HOTEL DEL CAMPIDOGLIO, [NEW YORK, N.Y.]",CARD; 4X6/5;,ANNIVERSARY;,MENU IN ITALIAN; WINES SERVED;,1894-034,,,1894-03-18,Garibaldi Pleasure Club,,,,complete,2,15
15362,32978,Childs,Childs,,,,23x20.5cm,,,1917-0718_wotm,,,1917-11-28,Childs,,Dollars,$,complete,2,50
16788,34475,Liederkranz Club,Liederkranz Club,,,,20x15cm folded; 20x30cm open,,Liederkranz Club,1913-0098_wotm,,,1913-01-25,Liederkranz Club,,,,complete,3,56
3465,19804,,NORDDEUTSCHER LLOYD BREMEN,DINNER,COMMERCIAL,"EN ROUTE ""FRIEDRICH DER GROSSE""",BROADSIDE; ILLUS; COL; 5.25 X 8.5;,,MENU IN GERMAN ONLY;,1901-2354,,,1901-09-16,Norddeutscher Lloyd Bremen,,,,complete,2,11
2962,17706,,,,,,,,,,,,1900-05-10,Gordon Hotel,,,,complete,2,87
7595,24703,,MERCHANTS OF THE TWENTIETH PRECINCT,DINNER TENDERED TO CAPTAIN JOHN COOONEY,COMMERCIAL,"NAVARRE HOTEL, NEW YORK, NY",CARD; ILLUS; COL; 3.25X5.25;,COMPLIMENTARY/TESTIMONIAL,INCLUDES COCKTAILS (MARTINIS) & WINES SERVED WITH INDIVIDUAL COURSES; HOTEL SEAL AT TOP OF MENU;,1901-440,,,1901-02-21,Merchants Of The Twentieth Precinct,,,,complete,2,22
11613,29128,,Shankweiler's Hotel,,,,33x25.5cm folded; 33x50.5cm open,,,1961-0056_wotm,,,1961-08-08,Shankweiler's Hotel,,Dollars,$,complete,4,196
1793,15360,,,,,,,,,,,,1900-08-01,Columbia Hotel,,,,complete,2,47
11705,29224,,Antoine,,,,24.5x16cm folded; 24.5x32cm open,,English is secondary language,1989-0006_wotm,,,1989-03-04,Antoine,,,,complete,3,9
7634,24754,,NORDDEUTSCHER LLOYD BREMEN,MITTAGESSEN - DINNER,COMMERCIAL,"DAMPFER ""BARBAROSSA""",FOLDER; ILLUS; COL; 5.25X7.5;,,"GERMAN & ENGLISH; ILLUSTRATION OF MYTHICAL FIGURE IN ARMOUR, WORLD GLOBE, DECORATIVE BORDER; CONCERT PROGRAMM ON BACK COVER; THEE ARE MENU FOR TWO DIFFERENT CLASSES FOR THIS DATE;",1901-939,,,1901-04-16,Norddeutscher Lloyd Bremen,,,,complete,4,32
14677,32284,Hotel Astor,Hotel Astor,,,,15.5x10cm folded; 15.5x20cm open,,Metropolitan Life Insurance Company,1918-0160_wotm,,,1918-01-26,Hotel Astor,,,,complete,2,14
14488,32092,[Restaurant name and/or location not given],[Restaurant name and/or location not given],,,,15.5x10cm folded; 15.5x20cm open,,the Metropolitan,1916-0006_wotm,,,1917-01-11,[Restaurant name and/or location not given],,,,complete,2,16
17168,35013,Onondaga,Onondaga,,,,,,Onondaga County Bar Association,1913-0240_wotm,,,1913-03-01,Onondaga,,,,complete,12,15
9745,27217,,Limehouse,dinner,RESTAURANT,Limehouse ,9 1/2 x 12 in. fold.,,Chinese restaurant menu. Printed paper on woven mat. ,Soete 65,,,,Limehouse,,Dollars,$,complete,2,162
16774,34458,New Willard Hotel,New Willard Hotel,,,,17.5x14cm folded; 17.5x28cm open,,,1913-0081_wotm,,,1913-01-22,New Willard Hotel,,,,complete,5,23
3124,18514,,,,,,,,,,,,1900-12-12,Alumni Of The University Law School,,,,complete,4,17
6500,23331,,FIRST AND SECOND COMPANIES GOVERNOR'S FOOT GUARDS,DINNER,PATR;,"HOTEL SOMERSET, BOSTON, MA",BOOKLET; ILLUS; COL; 5.5 X 7.5;,ANNIVERSARY (?);,"PRICED WINES, COCKTAIL, AND CHAMPAGNE; TRADITIONAL REVOLUTIONARY WAR ILLUSTRATIOS; HISTORY OF COMPANIES;",1906-768,,,1906-10-18,First And Second Companies Governor's Foot Guards,,Dollars,$,complete,28,23
16222,33874,Waldorf Astoria,Waldorf Astoria,,,,21.5x13.5cm,,,1914-0575_wotm,,,1914-06-06,Waldorf Astoria,,Dollars,$,complete,1,139
7009,23960,,ST.GEORGE'S SOCIETY OF NEW YORK,DINNER,RELIG;,"DELMONICO'S,[NEW YORK,NY?]",BOOKLET;ILL;COL;5.5X7.25;,,EMBLEM;TOASTS;SONG WORDS PRINTED;,1901-980,,,1901-04-23,St.George's Society Of New York,,,,complete,12,22
9683,27155,,Santa Fe Fred Harvey,wine list,RAILROAD,,8 x 5 in. ,,,Soete 151,,,1941-10-09,Santa Fe Fred Harvey,,Dollars,$,complete,4,48
7547,24643,,THE SHIP'S COMPANY OF H.M.S. GOOD HOPE,DINNER IN HONOR OF THE SHIP'S COMPANY OF U.S.S. LOUISIANA,NAV;,"HAMPTON ROADS, VA",CARD; 3.5X5.25;,COMPLIMENTARY/TESTIMONIAL,MENU IN FRENCH; EVNT NOTED BY FEB;,1907-478,,,1907-05-04,The Ship's Company Of H.M.S. Good Hope,,,,complete,6,14
12537,30079,,Frisco Lines,,,,20.5x13.5cm folded; 20.5x27cm open,,Railroad dining car menu,1943-0041_wotm,,,1943-01-01,Frisco Lines,,Dollars,$,complete,3,77
2979,17729,,,,,,,,,,,,1900-03-22,Cromwell Steamship Company,,,,complete,2,19
270,12805,,(UNION LEAGUE CLUB),TABLE D'HOTE DINNER,SOC;,"[NEW YORK, NY]",CARD; 5.5X7.0;,,"INITIALS ""ULC"" IN PALE BLUE;",1900-2686,,,1900-04-07,Union League Club,,,,complete,2,17
7159,24151,,DETROIT BOARD OF COMMERCE,SECOND ANNUAL DINNER,COMMERCIAL,"DETROIT, MI",BOOKLET; ILLUS; COL; 6.75X10.25;,ANNIVERSARY;,"MENU IN FRENCH; LISTS MANHATTAN COCKTAILS AND WINES SERVED WITH INDIVIDUAL COURSES; INCLUDES PHOTOGRAPH OF GUEST OF HONOR, HON. WILLIAM H. TAFT, SECRETARY OF WAR; PHOTOGRAPH OF MR. TAFT INCLUDED; MUSIC PROGRAMME; TOASTS; OFFICERS AND COMMITTEES LISTED; SE",1906-192,,,1906-02-19,Detroit Board Of Commerce,,,,complete,14,27
6112,22852,,CERCLE FRANCAIS DE L'HARMONIE,DINNER,SOC;,HOFFMAN HOUSE,CARD; COL; ILLUS; 4.5X7.5;,,LOGO OF SPONSOR; BLUE; PROGRAMME OF MUSIC ON BACK; FRENCH;,1889-002,,,1889-01-07,Cercle Francais De L'harmonie,,,,complete,2,31
12754,30298,,Restauracja Hotelu Europejskiego,,,,24.5x17cm folded; 24.5x34cm open,,Arthur H. Rumpf Menu Collection,1939-0059_wotm,,,1939-03-02,Restauracja Hotelu Europejskiego,,Złoty,zł.,complete,3,102
13365,30917,,Dorlon's,,,,26.5x14.5cm folded; 26.5x43cm open,,,1938-0061_wotm,,,1938-01-01,Dorlon's,,Dollars,$,complete,7,236
5278,21823,,JOHN NUSSKERN,BACHELOR DINNER,SOC;,"CAVANAGH'S,260 WEST 23 ST. NYC;",FOLDER;ILLUS; COL;4.5X7;,COMPLIMENTARY/TESTIMONIAL,,1907-544,,,1928-05-28,John Nusskern,,,,complete,4,17
16533,34195,Waldorf Astoria,Waldorf Astoria,,,,21.5x13.5cm,,,1914-0897_wotm,,,1914-09-02,Waldorf Astoria,,Dollars,$,complete,1,133
1215,14147,,OCEANIC STEAMSHIP COMPANY,DINNER - SECOND CABIN,COMMERCIAL,SS SONOMA,CARD; ILLUS; COL; 5.5X6.75;,,STEAMSHIP COMPANY LOGO AT TOP OF MENU; HANDWRITTEN;,1901-1713,,,1901-06-21,Oceanic Steamship Company,,,,complete,2,24
9370,26823,,Hotel Hessischer Hof,,HOTEL,Hotel Hessischer Hof,Folder; 9.25 x 13.75 inches,,Dieter Zander Collection.,Zander 263,,,1968-09-13,Hotel Hessischer Hof,,Deutsche Marks,DM,complete,4,40
6306,23094,,(NOT NOTED),NO. IV OF FIVE SUBSCRIPTION COTILLIONS,SOC?;,SHERRY'S [NY],CARD;3.5 X 5.25;,OTHER (SOC?);,FRENCH; EVENT NOTED BY FEB;,1901-378,,,1901-02-15,Sherry's,,,,complete,2,19
14711,32318,Aztec Restaurant,Aztec Restaurant,,,,18x25.5cm,,Abbé Haüy Celebration Committee,1918-0194_wotm,,,1918-02-28,Aztec Restaurant,,,,complete,2,8
9156,26607,,Oustau de Baumaniere,,,Oustau de Baumaniere,Booklet; 6 x 9.5 inches,,Dieter Zander Collection; unpriced menu; receipt and label from a wine bottle included.,Zander 565,,,1981-08-09,Oustau De Baumaniere,,Francs,FF,complete,10,48
3084,18339,,,,,,,,,,,,1900-12-05,New State House,,,,complete,2,39
14471,32075,Waldorf Astoria,Waldorf Astoria,,,,19x12cm folded; 19x24cm open,,Metropolitan Life Insurance Company,1919-0093_wotm,,,1919-12-20,Waldorf Astoria,,,,complete,4,20
15386,33002,Hotel Marlborough,Hotel Marlborough,,,,33x17.5cm,,,1917-0742_wotm,,,1917-11-28,Hotel Marlborough,,Dollars,$,complete,1,145
6575,23419,,U.S.M.S. NEW YORK,BREAKFAST,COMMERCIAL,U.S.M.S. NEW YORK,CARD; 4.0X6.25; ILLUS;,,"ILLUS, FLAG WITH EAGLE;",1900-763,,,1900-02-06,U.S.M.S. New York,,,,complete,2,30
12645,30188,,Hotel Metropole,,,,20x13cm folded; 20x26cm open,,Folkestone,1939-0140_wotm,,,1939-06-03,Hotel Metropole,,,,complete,4,10
17240,35103,Waldorf Astoria,Waldorf Astoria,,,,,,Wall Paper Manufacturers Association,1913-0331_wotm,,,1913-03-29,Waldorf Astoria,,,,complete,11,22
15484,33100,Louis Sherry,Louis Sherry,,,,27.5x15.5cm folded; 27.5x31cm open,,,1917-0593_wotm,,,1917-11-21,Louis Sherry,,Dollars,$,complete,2,233
254,12787,,SULLIVAN'S,MENU,COMMERCIAL,,BROADSHEET; 8X10.5;,,PRINTED IN VIOLET INK ON TISSUE THIN PAPER;,1900-1026,,,1900-02-12,Sullivan's,,Dollars,$,complete,2,61
7068,24040,,NORTH WESTERN RR LINE,HOLIDAY DINNER,COMMERCIAL,ENROUTE CHICAGO TO ST. PAUL & DULUTH;,BOOKLET; ILLUS; COL; 5.5 X 7.5;,RELIG HOLIDAY;,SEPARATE LIST OF WINES & PRICES;,1899-878,,,1899-12-25,North-Western Line,,Dollars,$,complete,8,77
13722,31312,,Hotel Mc Alpin,,,,34.5x27.5cm,,,1933-0095_wotm,,,1933-03-20,Hotel Mc Alpin,,Dollars,$,complete,2,321
15161,32773,The Biltmore,The Biltmore,,,,28x18cm folded; 28x36cm opened,,National Hotel Men's Exposition,1917-0510_wotm,,,1917-11-16,The Biltmore,,Dollars,$,complete,4,166
7225,24231,,SOUTHERN RAILWAY INSPECTION TRIP,"INSPECTION TRIP, LUNCHEON;",COMMERCIAL,EN ROUTE ATLANTA - BIRMINGHAM,CARD; 5.5 X 6.5;,,,1905-853,,,1905-11-14,Southern Railway Inspection Trip,,,,complete,2,25
2184,15818,,,,,,,,,,,,1900-08-16,Nippon Yusen Kaisha,,,,complete,2,23
6985,23933,,CAFE SAVARIN,DAILY MENU,COMMERCIAL,,CARD; 6.75 X 11;,,PRICED MENU AND WINE LIST;,1900-655,,,1900-01-31,Cafe Savarin,,Dollars,$,complete,2,408
5192,21714,,FRIENDS AND ACQAINTANCES OFJAMES C.McCARTHY,DINNER,OTHER;(PERSONAL);,"HOTEL VENDOME,BOSTON.MA",BOOKLET;ILL;COL;5.5X7;,COMPLIMENTARY/TESTIMONIAL,MENU ON SEPARATE FOLDER WITH RIBBON;PHOTOGRAPH OF JAMES McCARTHY;WINES;NAMES;ACCEPTANCE OF THE INVITATION TO MR. McCARTHY PRINTED ON INSIDE COVER OF MENU;SHIP AT SEA ON BACK COVER;,1901-758,,,1901-03-26,Friends And Acqaintances Ofjames C.Mccarthy,,,,complete,8,18
10564,28066,,Ambassador Hotel,,,,21x15cm  ,,,1978-0025_wotm,,,1978-06-17,Ambassador Hotel,,,,complete,1,4
7653,24782,,FOGG'S LADIES' AND GENTLEMEN'S DINING ROOM,BREAKFAST & SUPPER MENU,COMMERCIAL,"98 BARCLAY ST., NEW YORK, NY","FOLDER, 6X9.75;",,[DATE INFO SUPPLIED BY FEB];,1900-782,,,1900-02-07,Fogg's Ladies' And Gentlemen's Dining Room,,Dollars,$,complete,4,237
5930,22626,,IRISH FELLOWSHIP CLUB,BANQUET IN CELEBRATION OF ST. PATRICK'S DAY,SOC;,"THE AUDITORIUM [CHICAGO, IL]",BOOKLET; ILLUS; 3.75 X 8;,ANNIVERSARY;,WINES WITH EACH COURSE; SEPARATE PHOTO OF A STATUE OF YOUNG ABE LINCOLN;,1907-312,,,1907-03-18,Irish Fellowship Club,,,,complete,8,17
11486,29000,,The Waldorf Astoria,,,,24.5x15.5cm folded; 24.5x31cm open,,,1964-0001_wotm,,,1964-01-06,The Waldorf Astoria,,,,complete,4,23
44,12508,,MARIE ANTOINETTE HOTEL,LUNCHEON,COMMERCIAL,66 ST. & BWAY. NY,BROADSIDE; HOTEL EMBLEM; 4.5 X 7.5;,DAILY,,1900-1141,,,1900-02-19,Marie Antoinette Hotel,,Dollars,$,complete,2,82
15273,32887,Delmonicos,Delmonicos,,,,30.5x22cm ,,,1917-0189_wotm,,,1917-10-29,Delmonicos,,Dollars,$,complete,2,210
